epoch,loss,val_loss
0,4.728425598144531,4.705100145221742
0,3.4617169370651246,2.047677572108497
1,1.3637849670648574,0.9599238700610547
2,0.9074727670550347,0.7246136210920396
3,0.789599412560463,0.6380254170618767
4,0.7264040419459343,0.6193055356583319
5,0.6830821913480759,0.5675515736922745
6,0.6490532342791557,0.5419724913668041
7,0.6245039771497249,0.5277619927752116
8,0.5915441665351391,0.48254708428520804
9,0.5531054358780384,0.4611011763249547
10,0.5332780590355396,0.42569831025994515
11,0.5102004119157791,0.423205615629342
12,0.4860097112208605,0.40934989773783803
13,0.4726845542639494,0.38442199357038687
14,0.45493457712233065,0.37539478163581247
15,0.44453380891680716,0.3641180050028257
16,0.43244143384695055,0.36402238246576846
17,0.4208677983134985,0.3517240992754944
18,0.4096230311989784,0.335444981524767
19,0.4020648798197508,0.3469848888348942
20,0.39220221526920795,0.31666281911706134
21,0.3805895649343729,0.3205526587514838
22,0.3751100594550371,0.3150029075293502
23,0.37223460425436494,0.3031251748854464
24,0.3631723380088806,0.2992381722597051
25,0.3556713016033173,0.31116428164657484
26,0.3540651926249266,0.2908454808629741
27,0.3476626899689436,0.29551316194297855
28,0.3415355758741498,0.28182779240214134
29,0.3427712713927031,0.2899745087608818
30,0.33480633825063705,0.2934032413831427
31,0.3297531269416213,0.2814221193721472
0,2.6796187521219252,1.2062029964175105
1,0.8954937353432179,0.6274161819091513
2,0.541052762106061,0.3983363652032269
3,0.3760965214818716,0.3004872228118999
4,0.2959761884063482,0.2434572676920201
5,0.24286748833954333,0.2085930206312621
6,0.20445917186141013,0.1791811306183496
7,0.18227565879374744,0.1550866354349231
8,0.14925536726415156,0.1202951572866233
9,0.11626142619363963,0.09486984449230935
10,0.09171231481432915,0.08213802157662624
11,0.07777934664813801,0.06739839197190339
12,0.06771705750748515,0.06093836651175968
13,0.060455689257010815,0.057073494180852224
14,0.05573491690866649,0.0534289992021874
15,0.05131336268223822,0.05416795791488541
16,0.04817260108608752,0.05289727577955023
17,0.04378533776337281,0.049002784458258425
18,0.04185203340649605,0.04751709405302016
19,0.03940733624296263,0.04623036940143374
20,0.037105783824343236,0.04890236872717861
21,0.03597082905843854,0.04905052770945159
22,0.03420376219972968,0.04563536870578104
23,0.032939596600830554,0.04651514242965082
24,0.031287354981992394,0.04694627138424264
25,0.030423421235755085,0.04635240473161059
26,0.029085374183487146,0.04432540857194623
27,0.028056685911491512,0.04477653756337471
28,0.02742877984745428,0.04736304148446676
29,0.026291233828291297,0.0465059046025488
30,0.02549998186994344,0.046558768611616834
31,0.024952482120599598,0.04699405412043422
0,2.4604257081747054,1.0458607666256015
1,0.8718293767571449,0.7102261186877558
2,0.6141117395162582,0.46043560376837234
3,0.41425361555814744,0.33406440753582095
4,0.30458186846971513,0.26672759892280434
5,0.2504532260298729,0.2228724217304021
6,0.21323465973883868,0.20485283591407388
7,0.18939811613410712,0.17455731692516113
8,0.16577243146300316,0.14716078688906245
9,0.14123476426675916,0.1401581377068088
10,0.11847560361772776,0.10834625754351458
11,0.09383821007795631,0.09353616157900696
12,0.08160143578145652,0.08884106836597289
13,0.07343469889927655,0.08780370966708365
14,0.06668091588467359,0.07908181678349814
15,0.06010326426941901,0.0756206885672921
16,0.05563309747632593,0.07083796880646678
17,0.05018741450784728,0.07092316913580106
18,0.047433215628843756,0.06997043562452655
19,0.044330525793135164,0.06632378800533527
20,0.0410284538352862,0.06658095088287079
21,0.03846675781579688,0.06803529678790038
22,0.03649293098319322,0.06621248342774132
23,0.033967741774395106,0.06465247707549206
24,0.03238331185979769,0.06639945473952973
25,0.031078551923390478,0.0667951133656354
26,0.029224229876883327,0.06713237602663927
27,0.02772873941063881,0.0665351398335385
28,0.02630282757617533,0.06596454591605781
29,0.02507622271310538,0.06962062858722427
30,0.02424601239198819,0.07010975759476423
31,0.023292388800531624,0.06828091909323843
0,2.3908477091789244,0.9741252533906748
1,0.8347183496356011,0.6729669792593018
2,0.5758108264505863,0.49110658263618295
3,0.409494610697031,0.34789476285049736
4,0.3182607620358467,0.29266865175863926
5,0.2607675108294934,0.2408732986154635
6,0.21914999787509443,0.1968473594112337
7,0.18220378351956606,0.16066006395565577
8,0.14160489518847316,0.13119586346255355
9,0.11490897883661091,0.11003760360797082
10,0.09472149099037051,0.09809313144935064
